unique_key,created_date,closed_date,agency,complaint_type,descriptor,status,resolution_description,incident_zip,city,borough,latitude,longitude
52050326,2021-10-02T04:55:23Z,NA,DCA,consumer complaint,Vendor,In Progress,NA,10017,NEW YORK,MANHATTAN,40.75405004206811,-73.96852622070752
52050380,2021-10-02T04:17:35Z,2021-10-02T11:23:34Z,DHS,homeless person assistance,NA,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",10169,NEW YORK,MANHATTAN,40.75450745921105,-73.97595054706579
52050478,2021-10-02T04:57:34Z,2021-10-02T05:23:17Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department issued a summons in response to the complaint.,11370,EAST ELMHURST,QUEENS,40.76276532981812,-73.88668675887706
52050529,2021-10-02T05:32:42Z,2021-10-03T06:00:09Z,DOHMH,other,Customer Proof of Vaccination Not Checked,Closed,Thank you for your report. It will help the City ensure that the vaccine mandate is being enforced safely.,11220,BROOKLYN,BROOKLYN,40.63383033611589,-74.00988629194552
52050530,2021-10-02T04:17:58Z,2021-10-02T04:35:06Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10024,NEW YORK,MANHATTAN,40.784704207414315,-73.97205054977184
52050536,2021-10-02T04:34:50Z,2021-10-02T04:47:26Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11249,BROOKLYN,BROOKLYN,40.71604975056293,-73.96214117072438
52050549,2021-10-02T05:14:09Z,2021-10-02T05:36:27Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10458,BRONX,BRONX,40.86535764249122,-73.892495473103
52050551,2021-10-02T04:14:39Z,2021-10-02T05:31:12Z,NYPD,noise - commercial,Loud Talking,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10013,NEW YORK,MANHATTAN,40.71633557356023,-74.00919870660515
52050592,2021-10-02T04:08:04Z,NA,DOHMH,other,Food Source/Protection,In Progress,NA,11238,BROOKLYN,BROOKLYN,40.67527414771311,-73.9562915846352
52050623,2021-10-02T04:25:14Z,2021-10-02T05:35:13Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department reviewed your complaint and provided additional information below.,10459,BRONX,BRONX,40.81963170612799,-73.89349425440999
52050625,2021-10-02T04:47:23Z,2021-10-02T05:15:30Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11205,BROOKLYN,BROOKLYN,40.6922252447689,-73.95469742452106
52050628,2021-10-02T04:51:04Z,2021-10-02T05:05:23Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11228,BROOKLYN,BROOKLYN,40.61503359423574,-74.01390678749824
52050630,2021-10-02T05:27:48Z,2021-10-02T05:33:09Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10029,NEW YORK,MANHATTAN,40.793821746748584,-73.94722464211642
52050660,2021-10-02T05:03:20Z,2021-10-02T05:10:06Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10017,NEW YORK,MANHATTAN,40.75405004206811,-73.96852622070752
52050663,2021-10-02T05:36:47Z,2021-10-02T06:00:14Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10025,NEW YORK,MANHATTAN,40.80013618370888,-73.96594360942528
52050674,2021-10-02T04:25:35Z,2021-10-02T04:59:37Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10021,NA,MANHATTAN,40.765868081943886,-73.95741260717362
52050677,2021-10-02T04:10:24Z,2021-10-02T05:56:49Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10025,NEW YORK,MANHATTAN,40.79775574773715,-73.96347077966371
52050679,2021-10-02T04:24:29Z,2021-10-02T05:29:09Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11236,BROOKLYN,BROOKLYN,40.631677479226425,-73.91118114643312
52050703,2021-10-02T04:18:28Z,NA,DOHMH,other,Bees/Wasps - Not a beekeper,In Progress,NA,11235,BROOKLYN,BROOKLYN,40.58351622059898,-73.95728767934483
52050722,2021-10-02T05:25:18Z,2021-10-02T05:51:47Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10025,NEW YORK,MANHATTAN,40.799475312083196,-73.95934872471949
52050730,2021-10-02T05:17:14Z,2021-10-02T05:43:22Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10017,NEW YORK,MANHATTAN,40.75405004206811,-73.96852622070752
52050733,2021-10-02T04:21:32Z,2021-10-02T04:41:00Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10301,STATEN ISLAND,STATEN ISLAND,40.63981474450685,-74.08284837116128
52050738,2021-10-02T05:08:08Z,2021-10-02T05:26:10Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11226,BROOKLYN,BROOKLYN,40.64741836830095,-73.9589765044208
52050747,2021-10-02T05:31:19Z,NA,DOHMH,rodent,Rat Sighting,In Progress,NA,10459,BRONX,BRONX,40.819042597233455,-73.9007752024278
52050765,2021-10-02T04:07:51Z,2021-10-02T04:27:55Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11206,BROOKLYN,BROOKLYN,40.70906434778324,-73.94810330938624
52050783,2021-10-02T04:33:22Z,2021-10-02T04:39:57Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10468,BRONX,BRONX,40.87127471508725,-73.88907264434367
52050788,2021-10-02T05:10:17Z,2021-10-02T05:18:41Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11237,BROOKLYN,BROOKLYN,40.69064828586516,-73.90336783431943
52050810,2021-10-02T05:04:48Z,2021-10-02T05:25:07Z,NYPD,noise - street/sidewalk,Loud Talking,Closed,The Police Department reviewed your complaint and provided additional information below.,10026,NEW YORK,MANHATTAN,40.79893536819761,-73.95408303190568
52050823,2021-10-02T04:46:13Z,2021-10-02T05:43:34Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,10457,BRONX,BRONX,40.84299813707,-73.91043277254921
52050832,2021-10-02T04:25:51Z,2021-10-02T05:48:52Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10039,NEW YORK,MANHATTAN,40.82594841870185,-73.94092289589497
52050841,2021-10-02T04:09:24Z,2021-10-02T04:12:03Z,NYPD,noise - residential,Loud Talking,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,10011,NEW YORK,MANHATTAN,40.741469630791045,-73.99700478169524
52050859,2021-10-02T04:29:56Z,2021-10-02T04:48:25Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11213,NA,BROOKLYN,40.678009545948996,-73.94137842231154
52050874,2021-10-02T04:14:45Z,2021-10-02T04:48:57Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10034,NEW YORK,MANHATTAN,40.86921766810914,-73.91695259575096
52050875,2021-10-02T04:04:23Z,2021-10-02T04:07:25Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,10014,NEW YORK,MANHATTAN,40.733021305197404,-74.00191597502526
52050878,2021-10-02T04:15:03Z,2021-10-02T04:54:15Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10032,NEW YORK,MANHATTAN,40.83722808926937,-73.94422320443937
52050879,2021-10-02T05:38:27Z,2021-10-02T05:48:56Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10035,NEW YORK,MANHATTAN,40.80220600652392,-73.94532531186395
52050887,2021-10-02T04:48:43Z,2021-10-02T05:10:08Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10463,BRONX,BRONX,40.87741302322646,-73.90926181212673
52050891,2021-10-02T05:09:51Z,2021-10-02T05:22:35Z,NYPD,noise - street/sidewalk,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,10031,NEW YORK,MANHATTAN,40.8248027654127,-73.94421194034668
52050907,2021-10-02T04:54:01Z,2021-10-02T05:51:01Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10012,NEW YORK,MANHATTAN,40.72975506082844,-74.00068192378622
